timestamp,open,close,xbtusd_daily_change,ADAZ19_daily_btc,ADAZ19_daily_usd,ADAZ19_cumulative_btc
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,6.22,5.61,6.22
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,1.8,1.74,8.02
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,0.88,0.4,8.9
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,1.54,1.09,10.44
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,4.54,3.73,14.98
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,8.06,7.85,23.04
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,0.98,-0.06,24.02
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,0.39,-1.58,24.41
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-3.12,-6.51,21.29
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-9.03,-20.93,12.26
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,7.8,6.59,20.06
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,4.39,-0.07,24.45
2019-09-30 00:00:00+00:00,8207.0,8054.0,-1.86,-0.64,-2.5,23.81
2019-10-04 00:00:00+00:00,8377.5,8240.5,-1.64,-1.69,-3.33,22.12
2019-10-05 00:00:00+00:00,8240.5,8154.5,-1.04,5.16,4.12,27.28
2019-10-06 00:00:00+00:00,8154.5,8146.5,-0.1,1.02,0.92,28.3
2019-10-07 00:00:00+00:00,8146.5,7861.0,-3.5,0.2,-3.3,28.5
2019-10-09 00:00:00+00:00,8208.0,8180.0,-0.34,-0.2,-0.54,28.3
2019-10-11 00:00:00+00:00,8587.5,8586.5,-0.01,-2.4,-2.41,25.9
2019-10-12 00:00:00+00:00,8586.5,8266.0,-3.73,-0.41,-4.14,25.49
2019-10-14 00:00:00+00:00,8305.0,8278.0,-0.33,2.64,2.31,28.13
2019-10-16 00:00:00+00:00,8358.0,8156.0,-2.42,-3.38,-5.8,24.75
2019-10-17 00:00:00+00:00,8156.0,7995.5,-1.97,0.0,-1.97,24.75
2019-10-19 00:00:00+00:00,8070.5,7951.0,-1.48,-1.84,-3.32,22.91
2019-10-22 00:00:00+00:00,8233.0,8204.5,-0.35,-0.41,-0.76,22.5
2019-10-23 00:00:00+00:00,8204.5,8019.0,-2.26,0.42,-1.84,22.92
2019-10-24 00:00:00+00:00,8019.0,7468.0,-6.87,1.45,-5.42,24.37
2019-10-25 00:00:00+00:00,7468.0,7424.0,-0.59,2.86,2.27,27.23
2019-10-29 00:00:00+00:00,9556.0,9226.0,-3.45,3.37,-0.08,30.6
2019-10-31 00:00:00+00:00,9438.0,9165.0,-2.89,-1.94,-4.83,28.66
2019-11-01 00:00:00+00:00,9165.0,9153.5,-0.13,-0.66,-0.79,28.0
2019-11-04 00:00:00+00:00,9313.5,9205.5,-1.16,-0.44,-1.6,27.56
2019-11-06 00:00:00+00:00,9426.5,9317.0,-1.16,3.25,2.09,30.81
2019-11-08 00:00:00+00:00,9347.0,9213.0,-1.43,-1.45,-2.88,29.36
2019-11-09 00:00:00+00:00,9213.0,8765.0,-4.86,1.47,-3.39,30.83
2019-11-12 00:00:00+00:00,9038.5,8717.5,-3.55,2.05,-1.5,32.88
2019-11-14 00:00:00+00:00,8818.0,8764.0,-0.61,-0.4,-1.01,32.48
2019-11-15 00:00:00+00:00,8764.0,8630.5,-1.52,0.0,-1.52,32.48
2019-11-16 00:00:00+00:00,8630.5,8456.0,-2.02,4.85,2.83,37.33
2019-11-19 00:00:00+00:00,8506.0,8173.5,-3.91,-0.57,-4.48,36.76
2019-11-20 00:00:00+00:00,8173.5,8123.0,-0.62,-1.52,-2.14,35.24
2019-11-21 00:00:00+00:00,8123.0,8080.0,-0.53,-2.32,-2.85,32.92
2019-11-22 00:00:00+00:00,8080.0,7614.0,-5.77,-0.2,-5.97,32.72
2019-11-23 00:00:00+00:00,7614.0,7275.5,-4.45,1.19,-3.26,33.91
2019-11-25 00:00:00+00:00,7322.5,6902.5,-5.74,-2.69,-8.43,31.22
2019-11-29 00:00:00+00:00,7525.0,7424.5,-1.34,1.15,-0.19,32.37
2019-12-01 00:00:00+00:00,7749.0,7549.5,-2.57,0.37,-2.2,32.74
2019-12-02 00:00:00+00:00,7549.5,7399.0,-1.99,-0.56,-2.55,32.18
2019-12-03 00:00:00+00:00,7399.0,7300.5,-1.33,-2.61,-3.94,29.57
2019-12-04 00:00:00+00:00,7300.5,7294.5,-0.08,0.0,-0.08,29.57
2019-12-05 00:00:00+00:00,7294.5,7192.5,-1.4,-0.96,-2.36,28.61
2019-12-08 00:00:00+00:00,7538.5,7501.5,-0.49,0.98,0.49,29.59
2019-12-10 00:00:00+00:00,7512.5,7332.5,-2.4,-1.74,-4.14,27.85
2019-12-11 00:00:00+00:00,7332.5,7218.0,-1.56,-0.2,-1.76,27.65
2019-12-12 00:00:00+00:00,7218.0,7196.5,-0.3,0.2,-0.1,27.85
2019-12-13 00:00:00+00:00,7196.5,7187.0,-0.13,0.0,-0.13,27.85
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.0,-2.51,27.85
