timestamp,open,close,xbtusd_daily_change,BCHM19_daily_btc,BCHM19_daily_usd,BCHM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,0.0,-0.6,0.0
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-2.75,-4.25,-2.75
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,5.75,5.71,3.0
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-0.95,-1.28,2.05
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,-1.19,-2.78,0.86
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-1.62,-2.03,-0.76
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,-3.61,-5.0,-4.37
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,-3.16,-5.08,-7.53
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-7.43,-12.75,-14.96
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,-2.13,-2.32,-17.09
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,10.58,7.94,-6.51
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-3.83,-4.29,-10.34
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,-1.9,-3.52,-12.24
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,0.0,-5.89,-12.24
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-3.98,-4.13,-16.22
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-5.59,-5.83,-21.81
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,2.21,1.28,-19.6
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,-0.59,-1.13,-20.19
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,4.85,1.49,-15.34
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,2.98,-0.91,-12.36
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,-2.32,-9.07,-14.68
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-1.38,-2.65,-16.06
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,1.74,-0.66,-14.32
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,0.95,0.32,-13.37
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-3.21,-7.42,-16.58
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,-0.97,-1.64,-17.55
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,5.51,4.87,-12.04
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-4.1,-8.61,-16.14
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,-2.89,-10.19,-19.03
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,0.84,-4.56,-18.19
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,-0.26,-1.14,-18.45
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,-0.04,-3.79,-18.49
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,-0.46,-1.69,-18.95
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,-1.51,-4.31,-20.46
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,-0.75,-14.47,-21.21
