timestamp,open,close,xbtusd_daily_change,EOSM20_daily_btc,EOSM20_daily_usd,EOSM20_cumulative_btc
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,1.12,-6.26,1.12
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-0.62,-6.28,0.5
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,4.6,4.41,5.1
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-0.11,-6.11,4.99
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-1.63,-2.81,3.36
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,0.56,-5.31,3.92
2020-03-29 00:00:00+00:00,6363.5,6250.0,-1.78,2.67,0.89,6.59
2020-03-30 00:00:00+00:00,6250.0,5869.0,-6.1,1.75,-4.35,8.34
2020-04-04 00:00:00+00:00,6795.5,6738.0,-0.85,3.11,2.26,11.45
2020-04-06 00:00:00+00:00,6875.0,6775.5,-1.45,1.2,-0.25,12.65
2020-04-08 00:00:00+00:00,7338.0,7193.0,-1.98,-2.67,-4.65,9.98
