timestamp,open,close,xbtusd_daily_change,EOSU18_daily_btc,EOSU18_daily_usd,EOSU18_cumulative_btc
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-0.01,-0.6,-0.01
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-8.78,-18.65,-8.79
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-3.4,-3.64,-12.19
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-6.67,-9.51,-18.86
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-3.3,-7.94,-22.16
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,-0.4,-0.99,-22.56
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,-0.17,-1.75,-22.73
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,-0.01,-0.85,-22.74
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,-0.89,-1.71,-23.63
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-10.96,-11.45,-34.59
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-2.13,-7.59,-36.72
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-1.71,-3.66,-38.43
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,0.38,-0.16,-38.05
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-4.31,-6.1,-42.36
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,-1.5,-1.63,-43.86
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,1.48,-1.07,-42.38
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,0.66,-2.46,-41.72
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,0.04,-0.09,-41.68
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-8.08,-8.62,-49.76
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,0.41,-5.06,-49.35
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,-0.48,-2.07,-49.83
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-1.97,-2.82,-51.8
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,5.15,3.45,-46.65
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,2.39,-3.08,-44.26
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,1.97,0.72,-42.29
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-4.52,-7.69,-46.81
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,-10.03,-16.55,-56.84
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-5.35,-11.44,-62.19
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-7.18,-8.18,-69.37
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,3.85,3.02,-65.52
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-8.67,-11.47,-74.19
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-9.03,-12.63,-83.22
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-3.18,-4.96,-86.4
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,-1.77,-2.16,-88.17
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,4.48,3.86,-83.69
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-0.02,-0.81,-83.71
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-2.48,-2.97,-86.19
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-14.32,-23.38,-100.51
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,4.76,1.74,-95.75
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-2.06,-3.43,-97.81
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-2.76,-6.16,-100.57
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-0.98,-1.32,-101.55
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,-2.31,-2.46,-103.86
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,1.15,0.8,-102.71
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-7.84,-11.63,-110.55
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-3.98,-4.54,-114.53
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,1.58,1.49,-112.95
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-4.14,-6.0,-117.09
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,-2.96,-5.23,-120.05
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-0.05,-1.03,-120.1
