timestamp,open,close,xbtusd_daily_change,ETHH18_daily_btc,ETHH18_daily_usd,ETHH18_cumulative_btc
2017-12-18 00:00:00+00:00,19547.5,19287.5,-1.33,5.27,3.94,5.27
2017-12-19 00:00:00+00:00,19287.5,19127.0,-0.83,10.21,9.38,15.48
2017-12-20 00:00:00+00:00,19127.0,17663.0,-7.65,12.81,5.16,28.29
2017-12-21 00:00:00+00:00,17663.0,16463.0,-6.79,6.56,-0.23,34.85
2017-12-22 00:00:00+00:00,16463.0,15775.0,-4.18,-1.55,-5.73,33.3
2017-12-23 00:00:00+00:00,15775.0,13763.5,-12.75,-1.04,-13.79,32.26
2017-12-25 00:00:00+00:00,14719.5,14227.5,-3.34,1.51,-1.83,33.77
2017-12-26 00:00:00+00:00,14227.5,13989.5,-1.67,8.03,6.36,41.8
2017-12-28 00:00:00+00:00,15833.5,15380.5,-2.86,-3.4,-6.26,38.4
2017-12-29 00:00:00+00:00,15380.5,14480.0,-5.85,-0.43,-6.28,37.97
2017-12-31 00:00:00+00:00,14539.5,12673.5,-12.83,6.98,-5.85,44.95
2018-01-02 00:00:00+00:00,13873.0,13477.0,-2.85,5.31,2.46,50.26
2018-01-08 00:00:00+00:00,17210.0,16224.5,-5.73,18.97,13.24,69.23
2018-01-09 00:00:00+00:00,16224.5,14952.5,-7.84,6.69,-1.15,75.92
2018-01-10 00:00:00+00:00,14952.5,14465.0,-3.26,16.01,12.75,91.93
2018-01-12 00:00:00+00:00,14963.5,13287.5,-11.2,3.89,-7.31,95.82
2018-01-15 00:00:00+00:00,14209.0,13645.0,-3.97,0.89,-3.08,96.71
2018-01-16 00:00:00+00:00,13645.0,13621.0,-0.18,-6.52,-6.7,90.19
2018-01-17 00:00:00+00:00,13621.0,11330.0,-16.82,-3.64,-20.46,86.55
2018-01-18 00:00:00+00:00,11330.0,11210.0,-1.06,1.15,0.09,87.7
2018-01-22 00:00:00+00:00,12746.5,11560.0,-9.31,0.56,-8.75,88.26
2018-01-23 00:00:00+00:00,11560.0,10792.5,-6.64,1.27,-5.37,89.53
2018-01-26 00:00:00+00:00,11394.5,11117.0,-2.44,0.12,-2.32,89.65
2018-01-27 00:00:00+00:00,11117.0,11110.0,-0.06,1.29,1.23,90.94
2018-01-30 00:00:00+00:00,11631.5,11127.0,-4.34,-0.22,-4.56,90.72
2018-01-31 00:00:00+00:00,11127.0,9999.0,-10.14,0.75,-9.39,91.47
2018-02-02 00:00:00+00:00,10132.0,9008.0,-11.09,3.85,-7.24,95.32
2018-02-03 00:00:00+00:00,9008.0,8807.5,-2.23,-9.27,-11.5,86.05
2018-02-05 00:00:00+00:00,9226.5,8151.0,-11.66,-4.81,-16.47,81.24
2018-02-06 00:00:00+00:00,8151.0,6889.5,-15.48,0.81,-14.67,82.05
2018-02-08 00:00:00+00:00,7674.5,7598.5,-0.99,-2.74,-3.73,79.31
2018-02-11 00:00:00+00:00,8675.5,8548.5,-1.46,-1.41,-2.87,77.9
2018-02-12 00:00:00+00:00,8548.5,8065.0,-5.66,1.2,-4.46,79.1
2018-02-14 00:00:00+00:00,8905.5,8499.5,-4.56,1.01,-3.55,80.11
2018-02-19 00:00:00+00:00,11144.0,10402.0,-6.66,-0.05,-6.71,80.06
2018-02-22 00:00:00+00:00,11220.0,10455.0,-6.82,1.77,-5.05,81.83
2018-02-23 00:00:00+00:00,10455.0,9831.5,-5.96,2.42,-3.54,84.25
2018-02-25 00:00:00+00:00,10130.5,9689.0,-4.36,1.85,-2.51,86.1
2018-02-26 00:00:00+00:00,9689.0,9591.0,-1.01,2.43,1.42,88.53
2018-03-01 00:00:00+00:00,10530.0,10319.0,-2.0,0.57,-1.43,89.1
2018-03-06 00:00:00+00:00,11490.5,11330.5,-1.39,-0.89,-2.28,88.21
2018-03-07 00:00:00+00:00,11330.5,10730.0,-5.3,2.2,-3.1,90.41
2018-03-08 00:00:00+00:00,10730.0,9913.5,-7.61,0.7,-6.91,91.11
2018-03-09 00:00:00+00:00,9913.5,9304.5,-6.14,-2.11,-8.25,89.0
2018-03-10 00:00:00+00:00,9304.5,9224.0,-0.87,4.98,4.11,93.98
2018-03-11 00:00:00+00:00,9224.0,8789.5,-4.71,-0.85,-5.56,93.13
2018-03-13 00:00:00+00:00,9543.0,9093.0,-4.72,1.23,-3.49,94.36
2018-03-15 00:00:00+00:00,9133.5,8190.5,-10.32,-1.64,-11.96,92.72
2018-03-18 00:00:00+00:00,8250.5,7849.0,-4.87,-2.99,-7.86,89.73
2018-03-22 00:00:00+00:00,8897.0,8893.5,-0.04,-0.99,-1.03,88.74
2018-03-23 00:00:00+00:00,8893.5,8700.0,-2.18,-1.74,-3.92,87.0
2018-03-25 00:00:00+00:00,8921.0,8512.0,-4.58,0.95,-3.63,87.95
2018-03-26 00:00:00+00:00,8512.0,8444.5,-0.79,0.84,0.05,88.79
2018-03-27 00:00:00+00:00,8444.5,8150.0,-3.49,-3.43,-6.92,85.36
2018-03-28 00:00:00+00:00,8150.0,7791.0,-4.4,-4.73,-9.13,80.63
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-2.97,-13.72,77.66
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,1.94,-1.76,79.6
