timestamp,open,close,xbtusd_daily_change,LTCZ19_daily_btc,LTCZ19_daily_usd,LTCZ19_cumulative_btc
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,6.61,6.0,6.61
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,3.18,3.12,9.79
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,-0.51,-0.99,9.28
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,4.05,3.6,13.33
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,2.76,1.95,16.09
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,4.41,4.2,20.5
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.22,-2.26,19.28
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,0.0,-1.97,19.28
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-5.71,-9.1,13.57
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-5.83,-17.73,7.74
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,5.88,4.67,13.62
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,-0.37,-4.83,13.25
2019-09-30 00:00:00+00:00,8207.0,8054.0,-1.86,-1.05,-2.91,12.2
2019-10-04 00:00:00+00:00,8377.5,8240.5,-1.64,1.86,0.22,14.06
2019-10-05 00:00:00+00:00,8240.5,8154.5,-1.04,1.31,0.27,15.37
2019-10-06 00:00:00+00:00,8154.5,8146.5,-0.1,0.36,0.26,15.73
2019-10-07 00:00:00+00:00,8146.5,7861.0,-3.5,-0.79,-4.29,14.94
2019-10-09 00:00:00+00:00,8208.0,8180.0,-0.34,-1.0,-1.34,13.94
2019-10-11 00:00:00+00:00,8587.5,8586.5,-0.01,-3.25,-3.26,10.69
2019-10-12 00:00:00+00:00,8586.5,8266.0,-3.73,0.52,-3.21,11.21
2019-10-14 00:00:00+00:00,8305.0,8278.0,-0.33,2.17,1.84,13.38
2019-10-16 00:00:00+00:00,8358.0,8156.0,-2.42,-2.21,-4.63,11.17
2019-10-17 00:00:00+00:00,8156.0,7995.5,-1.97,-1.58,-3.55,9.59
2019-10-19 00:00:00+00:00,8070.5,7951.0,-1.48,-1.26,-2.74,8.33
2019-10-22 00:00:00+00:00,8233.0,8204.5,-0.35,-0.38,-0.73,7.95
2019-10-23 00:00:00+00:00,8204.5,8019.0,-2.26,-0.3,-2.56,7.65
2019-10-24 00:00:00+00:00,8019.0,7468.0,-6.87,-0.23,-7.1,7.42
2019-10-25 00:00:00+00:00,7468.0,7424.0,-0.59,1.52,0.93,8.94
2019-10-29 00:00:00+00:00,9556.0,9226.0,-3.45,-0.16,-3.61,8.78
2019-10-31 00:00:00+00:00,9438.0,9165.0,-2.89,-0.4,-3.29,8.38
2019-11-01 00:00:00+00:00,9165.0,9153.5,-0.13,0.96,0.83,9.34
2019-11-04 00:00:00+00:00,9313.5,9205.5,-1.16,1.69,0.53,11.03
2019-11-06 00:00:00+00:00,9426.5,9317.0,-1.16,3.78,2.62,14.81
2019-11-08 00:00:00+00:00,9347.0,9213.0,-1.43,-3.22,-4.65,11.59
2019-11-09 00:00:00+00:00,9213.0,8765.0,-4.86,3.85,-1.01,15.44
2019-11-12 00:00:00+00:00,9038.5,8717.5,-3.55,0.5,-3.05,15.94
2019-11-14 00:00:00+00:00,8818.0,8764.0,-0.61,-0.14,-0.75,15.8
2019-11-15 00:00:00+00:00,8764.0,8630.5,-1.52,-2.1,-3.62,13.7
2019-11-16 00:00:00+00:00,8630.5,8456.0,-2.02,-0.15,-2.17,13.55
2019-11-19 00:00:00+00:00,8506.0,8173.5,-3.91,-2.45,-6.36,11.1
2019-11-20 00:00:00+00:00,8173.5,8123.0,-0.62,-0.67,-1.29,10.43
2019-11-21 00:00:00+00:00,8123.0,8080.0,-0.53,0.22,-0.31,10.65
2019-11-22 00:00:00+00:00,8080.0,7614.0,-5.77,-2.0,-7.77,8.65
2019-11-23 00:00:00+00:00,7614.0,7275.5,-4.45,-2.05,-6.5,6.6
2019-11-25 00:00:00+00:00,7322.5,6902.5,-5.74,-3.44,-9.18,3.16
2019-11-29 00:00:00+00:00,7525.0,7424.5,-1.34,-0.94,-2.28,2.22
2019-12-01 00:00:00+00:00,7749.0,7549.5,-2.57,-0.24,-2.81,1.98
2019-12-02 00:00:00+00:00,7549.5,7399.0,-1.99,2.39,0.4,4.37
2019-12-03 00:00:00+00:00,7399.0,7300.5,-1.33,-3.12,-4.45,1.25
2019-12-04 00:00:00+00:00,7300.5,7294.5,-0.08,-1.77,-1.85,-0.52
2019-12-05 00:00:00+00:00,7294.5,7192.5,-1.4,1.23,-0.17,0.71
2019-12-08 00:00:00+00:00,7538.5,7501.5,-0.49,0.08,-0.41,0.79
2019-12-10 00:00:00+00:00,7512.5,7332.5,-2.4,-0.74,-3.14,0.05
2019-12-11 00:00:00+00:00,7332.5,7218.0,-1.56,1.0,-0.56,1.05
2019-12-12 00:00:00+00:00,7218.0,7196.5,-0.3,-0.74,-1.04,0.31
2019-12-13 00:00:00+00:00,7196.5,7187.0,-0.13,0.33,0.2,0.64
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.49,-2.02,1.13
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-5.56,-8.86,-4.43
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-3.81,-7.61,-8.24
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,-1.07,-2.98,-9.31
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-0.63,-1.28,-9.94
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,-0.45,-3.08,-10.39
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,0.27,-0.59,-10.12
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,0.18,-0.57,-9.94
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,-0.54,-0.6,-10.48
