timestamp,open,close,xbtusd_daily_change,TRXU19_daily_btc,TRXU19_daily_usd,TRXU19_cumulative_btc
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,0.81,-1.99,0.81
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,0.7,-13.02,1.51
2019-06-30 00:00:00+00:00,12374.5,11870.0,-4.08,8.27,4.19,9.78
2019-07-01 00:00:00+00:00,11870.0,10761.0,-9.34,0.0,-9.34,9.78
2019-07-02 00:00:00+00:00,10761.0,10570.5,-1.77,4.32,2.55,14.1
2019-07-05 00:00:00+00:00,11983.5,11143.0,-7.01,2.87,-4.14,16.97
2019-07-06 00:00:00+00:00,11143.0,10991.0,-1.36,3.14,1.78,20.11
2019-07-11 00:00:00+00:00,12563.5,12090.0,-3.77,-3.25,-7.02,16.86
2019-07-12 00:00:00+00:00,12090.0,11336.5,-6.23,-7.09,-13.32,9.77
2019-07-14 00:00:00+00:00,11804.0,11370.5,-3.67,-0.39,-4.06,9.38
2019-07-15 00:00:00+00:00,11370.5,10185.5,-10.42,-1.97,-12.39,7.41
2019-07-17 00:00:00+00:00,10857.0,9417.0,-13.26,-3.88,-17.14,3.53
2019-07-20 00:00:00+00:00,10646.5,10523.0,-1.16,10.29,9.13,13.82
2019-07-22 00:00:00+00:00,10760.0,10591.5,-1.57,1.85,0.28,15.67
2019-07-23 00:00:00+00:00,10591.5,10320.5,-2.56,-6.52,-9.08,9.15
2019-07-24 00:00:00+00:00,10320.5,9844.0,-4.62,-5.81,-10.43,3.34
2019-07-25 00:00:00+00:00,9844.0,9773.0,-0.72,-0.41,-1.13,2.93
2019-07-27 00:00:00+00:00,9871.5,9845.5,-0.26,3.04,2.78,5.97
2019-07-28 00:00:00+00:00,9845.5,9463.5,-3.88,-2.53,-6.41,3.44
2019-07-30 00:00:00+00:00,9530.5,9502.5,-0.29,-0.86,-1.15,2.58
2019-08-07 00:00:00+00:00,11814.5,11467.0,-2.94,-2.58,-5.52,-0.0
2019-08-10 00:00:00+00:00,12020.0,11874.0,-1.21,-10.06,-11.27,-10.06
2019-08-11 00:00:00+00:00,11874.0,11280.0,-5.0,11.8,6.8,1.74
2019-08-13 00:00:00+00:00,11531.5,11395.5,-1.18,0.0,-1.18,1.74
2019-08-14 00:00:00+00:00,11395.5,10858.5,-4.71,3.89,-0.82,5.63
2019-08-15 00:00:00+00:00,10858.5,10025.0,-7.68,-6.42,-14.1,-0.79
2019-08-18 00:00:00+00:00,10350.5,10204.0,-1.42,2.5,1.08,1.71
2019-08-21 00:00:00+00:00,10925.0,10773.5,-1.39,-1.23,-2.62,0.48
2019-08-22 00:00:00+00:00,10773.5,10129.0,-5.98,3.13,-2.85,3.61
2019-08-23 00:00:00+00:00,10129.0,10104.5,-0.24,4.24,4.0,7.85
2019-08-25 00:00:00+00:00,10401.5,10136.0,-2.55,1.16,-1.39,9.01
2019-08-28 00:00:00+00:00,10369.0,10176.0,-1.86,3.59,1.73,12.6
2019-08-29 00:00:00+00:00,10176.0,9701.5,-4.66,-6.36,-11.02,6.24
2019-08-30 00:00:00+00:00,9701.5,9491.5,-2.16,-0.62,-2.78,5.62
2019-09-05 00:00:00+00:00,10630.0,10580.5,-0.47,-2.68,-3.15,2.94
2019-09-07 00:00:00+00:00,10586.0,10310.5,-2.6,-2.17,-4.77,0.77
2019-09-09 00:00:00+00:00,10492.5,10402.0,-0.86,3.42,2.56,4.19
2019-09-10 00:00:00+00:00,10402.0,10318.0,-0.81,0.0,-0.81,4.19
2019-09-11 00:00:00+00:00,10318.0,10102.5,-2.09,1.99,-0.1,6.18
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,5.71,5.1,11.89
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,2.03,1.97,13.92
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,-1.32,-1.8,12.6
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,2.01,1.56,14.61
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,7.89,7.08,22.5
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,7.93,7.72,30.43
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.16,-2.2,29.27
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,7.06,5.09,36.33
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-2.4,-5.79,33.93
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-9.82,-21.72,24.11
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,5.44,4.23,29.55
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,1.94,-2.52,31.49
