timestamp,open,close,xbtusd_daily_change,XRPH18_daily_btc,XRPH18_daily_usd,XRPH18_cumulative_btc
2017-12-18 00:00:00+00:00,19547.5,19287.5,-1.33,-4.31,-5.64,-4.31
2017-12-19 00:00:00+00:00,19287.5,19127.0,-0.83,6.15,5.32,1.84
2017-12-20 00:00:00+00:00,19127.0,17663.0,-7.65,7.53,-0.12,9.37
2017-12-21 00:00:00+00:00,17663.0,16463.0,-6.79,3.44,-3.35,12.81
2017-12-22 00:00:00+00:00,16463.0,15775.0,-4.18,69.25,65.07,82.06
2017-12-23 00:00:00+00:00,15775.0,13763.5,-12.75,-1.99,-14.74,80.07
2017-12-25 00:00:00+00:00,14719.5,14227.5,-3.34,3.21,-0.13,83.28
2017-12-26 00:00:00+00:00,14227.5,13989.5,-1.67,-0.29,-1.96,82.99
2017-12-28 00:00:00+00:00,15833.5,15380.5,-2.86,13.95,11.09,96.94
2017-12-29 00:00:00+00:00,15380.5,14480.0,-5.85,9.73,3.88,106.67
2017-12-31 00:00:00+00:00,14539.5,12673.5,-12.83,7.77,-5.06,114.44
2018-01-02 00:00:00+00:00,13873.0,13477.0,-2.85,10.53,7.68,124.97
2018-01-08 00:00:00+00:00,17210.0,16224.5,-5.73,12.43,6.7,137.4
2018-01-09 00:00:00+00:00,16224.5,14952.5,-7.84,-7.27,-15.11,130.13
2018-01-10 00:00:00+00:00,14952.5,14465.0,-3.26,-13.27,-16.53,116.86
2018-01-12 00:00:00+00:00,14963.5,13287.5,-11.2,13.89,2.69,130.75
2018-01-15 00:00:00+00:00,14209.0,13645.0,-3.97,-5.49,-9.46,125.26
2018-01-16 00:00:00+00:00,13645.0,13621.0,-0.18,-7.42,-7.6,117.84
2018-01-17 00:00:00+00:00,13621.0,11330.0,-16.82,-15.87,-32.69,101.97
2018-01-18 00:00:00+00:00,11330.0,11210.0,-1.06,16.25,15.19,118.22
2018-01-22 00:00:00+00:00,12746.5,11560.0,-9.31,-4.38,-13.69,113.84
2018-01-23 00:00:00+00:00,11560.0,10792.5,-6.64,5.61,-1.03,119.45
2018-01-26 00:00:00+00:00,11394.5,11117.0,-2.44,-1.98,-4.42,117.47
2018-01-27 00:00:00+00:00,11117.0,11110.0,-0.06,-6.66,-6.72,110.81
2018-01-30 00:00:00+00:00,11631.5,11127.0,-4.34,-2.5,-6.84,108.31
2018-01-31 00:00:00+00:00,11127.0,9999.0,-10.14,-3.23,-13.37,105.08
2018-02-02 00:00:00+00:00,10132.0,9008.0,-11.09,-4.04,-15.13,101.04
2018-02-03 00:00:00+00:00,9008.0,8807.5,-2.23,-4.14,-6.37,96.9
2018-02-05 00:00:00+00:00,9226.5,8151.0,-11.66,-4.61,-16.27,92.29
2018-02-06 00:00:00+00:00,8151.0,6889.5,-15.48,-1.25,-16.73,91.04
2018-02-08 00:00:00+00:00,7674.5,7598.5,-0.99,-4.9,-5.89,86.14
2018-02-11 00:00:00+00:00,8675.5,8548.5,-1.46,12.09,10.63,98.23
2018-02-12 00:00:00+00:00,8548.5,8065.0,-5.66,-0.85,-6.51,97.38
2018-02-14 00:00:00+00:00,8905.5,8499.5,-4.56,-0.52,-5.08,96.86
2018-02-19 00:00:00+00:00,11144.0,10402.0,-6.66,-2.88,-9.54,93.98
2018-02-22 00:00:00+00:00,11220.0,10455.0,-6.82,-0.31,-7.13,93.67
2018-02-23 00:00:00+00:00,10455.0,9831.5,-5.96,-0.37,-6.33,93.3
2018-02-25 00:00:00+00:00,10130.5,9689.0,-4.36,1.25,-3.11,94.55
2018-02-26 00:00:00+00:00,9689.0,9591.0,-1.01,0.79,-0.22,95.34
2018-03-01 00:00:00+00:00,10530.0,10319.0,-2.0,-2.85,-4.85,92.49
2018-03-06 00:00:00+00:00,11490.5,11330.5,-1.39,-6.24,-7.63,86.25
2018-03-07 00:00:00+00:00,11330.5,10730.0,-5.3,1.65,-3.65,87.9
2018-03-08 00:00:00+00:00,10730.0,9913.5,-7.61,2.97,-4.64,90.87
2018-03-09 00:00:00+00:00,9913.5,9304.5,-6.14,0.82,-5.32,91.69
2018-03-10 00:00:00+00:00,9304.5,9224.0,-0.87,2.79,1.92,94.48
2018-03-11 00:00:00+00:00,9224.0,8789.5,-4.71,-1.08,-5.79,93.4
2018-03-13 00:00:00+00:00,9543.0,9093.0,-4.72,-0.16,-4.88,93.24
2018-03-15 00:00:00+00:00,9133.5,8190.5,-10.32,-2.6,-12.92,90.64
2018-03-18 00:00:00+00:00,8250.5,7849.0,-4.87,-4.55,-9.42,86.09
2018-03-22 00:00:00+00:00,8897.0,8893.5,-0.04,-2.61,-2.65,83.48
2018-03-23 00:00:00+00:00,8893.5,8700.0,-2.18,-2.89,-5.07,80.59
2018-03-25 00:00:00+00:00,8921.0,8512.0,-4.58,1.92,-2.66,82.51
2018-03-26 00:00:00+00:00,8512.0,8444.5,-0.79,1.99,1.2,84.5
2018-03-27 00:00:00+00:00,8444.5,8150.0,-3.49,-3.74,-7.23,80.76
2018-03-28 00:00:00+00:00,8150.0,7791.0,-4.4,0.45,-3.95,81.21
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-2.48,-13.23,78.73
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,1.3,-2.4,80.03
