timestamp,open,close,xbtusd_daily_change,XRPM18_daily_btc,XRPM18_daily_usd,XRPM18_cumulative_btc
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,-8.38,-19.13,-8.38
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,3.0,-0.7,-5.38
2018-04-02 00:00:00+00:00,6920.5,6817.0,-1.5,-2.92,-4.42,-8.3
2018-04-05 00:00:00+00:00,7408.5,6779.0,-8.5,-2.73,-11.23,-11.03
2018-04-06 00:00:00+00:00,6779.0,6769.5,-0.14,0.7,0.56,-10.33
2018-04-07 00:00:00+00:00,6769.5,6612.0,-2.33,-1.0,-3.33,-11.33
2018-04-10 00:00:00+00:00,7014.0,6763.0,-3.58,1.04,-2.54,-10.29
2018-04-14 00:00:00+00:00,7904.5,7887.5,-0.22,0.98,0.76,-9.31
2018-04-17 00:00:00+00:00,8346.5,8047.0,-3.59,-0.08,-3.67,-9.39
2018-04-18 00:00:00+00:00,8047.0,7889.5,-1.96,0.08,-1.88,-9.31
2018-04-23 00:00:00+00:00,8923.5,8800.0,-1.38,-0.11,-1.49,-9.42
2018-04-26 00:00:00+00:00,9675.0,8846.5,-8.56,-8.81,-17.37,-18.23
2018-04-28 00:00:00+00:00,9288.0,8928.0,-3.88,-1.89,-5.77,-20.12
2018-05-01 00:00:00+00:00,9400.5,9250.0,-1.6,-3.28,-4.88,-23.4
2018-05-02 00:00:00+00:00,9250.0,9066.0,-1.99,3.91,1.92,-19.49
2018-05-05 00:00:00+00:00,9741.5,9683.0,-0.6,-0.13,-0.73,-19.62
2018-05-07 00:00:00+00:00,9828.5,9600.5,-2.32,-7.07,-9.39,-26.69
2018-05-08 00:00:00+00:00,9600.5,9359.5,-2.51,-4.35,-6.86,-31.04
2018-05-09 00:00:00+00:00,9359.5,9190.5,-1.81,-0.51,-2.32,-31.55
2018-05-11 00:00:00+00:00,9305.5,9027.5,-2.99,-3.58,-6.57,-35.13
2018-05-12 00:00:00+00:00,9027.5,8413.0,-6.81,-4.6,-11.41,-39.73
2018-05-15 00:00:00+00:00,8693.5,8678.0,-0.18,-0.67,-0.85,-40.4
2018-05-16 00:00:00+00:00,8678.0,8476.5,-2.32,-4.51,-6.83,-44.91
2018-05-17 00:00:00+00:00,8476.5,8334.5,-1.68,4.04,2.36,-40.87
2018-05-18 00:00:00+00:00,8334.5,8058.5,-3.31,-3.47,-6.78,-44.34
2018-05-20 00:00:00+00:00,8233.0,8230.0,-0.04,-0.01,-0.05,-44.35
2018-05-22 00:00:00+00:00,8521.5,8397.0,-1.46,-2.5,-3.96,-46.85
2018-05-23 00:00:00+00:00,8397.0,7989.0,-4.86,-1.74,-6.6,-48.59
2018-05-24 00:00:00+00:00,7989.0,7506.0,-6.05,-1.66,-7.71,-50.25
2018-05-26 00:00:00+00:00,7568.0,7464.5,-1.37,-1.77,-3.14,-52.02
2018-05-27 00:00:00+00:00,7464.5,7323.0,-1.9,1.98,0.08,-50.04
2018-05-29 00:00:00+00:00,7336.5,7111.0,-3.07,-5.86,-8.93,-55.9
2018-05-31 00:00:00+00:00,7469.0,7372.0,-1.3,1.34,0.04,-54.56
2018-06-05 00:00:00+00:00,7709.0,7492.0,-2.81,-2.27,-5.08,-56.83
2018-06-09 00:00:00+00:00,7689.0,7625.0,-0.83,0.2,-0.63,-56.63
2018-06-10 00:00:00+00:00,7625.0,7492.0,-1.74,-0.88,-2.62,-57.51
2018-06-11 00:00:00+00:00,7492.0,6767.0,-9.68,-2.78,-12.46,-60.29
2018-06-13 00:00:00+00:00,6870.5,6553.5,-4.61,-2.17,-6.78,-62.46
2018-06-14 00:00:00+00:00,6553.5,6296.5,-3.92,-1.36,-5.28,-63.82
2018-06-16 00:00:00+00:00,6631.0,6395.0,-3.56,-1.01,-4.57,-64.83
2018-06-18 00:00:00+00:00,6488.5,6443.0,-0.7,-1.28,-1.98,-66.11
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-0.48,-1.07,-66.59
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,0.05,-9.82,-66.54
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-2.8,-3.04,-69.34
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-3.23,-6.07,-72.57
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-1.15,-5.79,-73.72
