timestamp,open,close,xbtusd_daily_change,XRPZ18_daily_btc,XRPZ18_daily_usd,XRPZ18_cumulative_btc
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,4.05,3.49,4.05
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,-0.8,-0.89,3.25
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-12.61,-14.47,-9.36
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,9.71,7.44,0.35
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,1.45,0.47,1.8
2018-09-30 00:00:00+00:00,6620.0,6581.5,-0.58,5.65,5.07,7.45
2018-10-02 00:00:00+00:00,6598.5,6571.0,-0.42,-2.46,-2.88,4.99
2018-10-03 00:00:00+00:00,6571.0,6502.5,-1.04,-8.85,-9.89,-3.86
2018-10-04 00:00:00+00:00,6502.5,6465.0,-0.58,2.11,1.53,-1.75
2018-10-07 00:00:00+00:00,6582.0,6552.0,-0.46,-6.11,-6.57,-7.86
2018-10-10 00:00:00+00:00,6607.5,6591.0,-0.25,-1.59,-1.84,-9.45
2018-10-11 00:00:00+00:00,6591.0,6530.0,-0.93,-2.85,-3.78,-12.3
2018-10-12 00:00:00+00:00,6530.0,6154.5,-5.75,-14.65,-20.4,-26.95
2018-10-15 00:00:00+00:00,6193.5,6181.5,-0.19,-4.07,-4.26,-31.02
2018-10-18 00:00:00+00:00,6456.0,6438.5,-0.27,0.64,0.37,-30.38
2018-10-19 00:00:00+00:00,6438.5,6394.5,-0.68,-1.85,-2.53,-32.23
2018-10-20 00:00:00+00:00,6394.5,6384.0,-0.16,-0.62,-0.78,-32.85
2018-10-23 00:00:00+00:00,6413.0,6412.5,-0.01,-0.32,-0.33,-33.17
2018-10-24 00:00:00+00:00,6412.5,6395.0,-0.27,2.6,2.33,-30.57
2018-10-26 00:00:00+00:00,6412.5,6393.5,-0.3,0.81,0.51,-29.76
2018-10-30 00:00:00+00:00,6408.0,6266.5,-2.21,-2.47,-4.68,-32.23
2018-11-04 00:00:00+00:00,6346.0,6332.5,-0.21,-0.58,-0.79,-32.81
2018-11-06 00:00:00+00:00,6427.5,6404.0,-0.37,6.63,6.26,-26.18
2018-11-09 00:00:00+00:00,6510.5,6414.0,-1.48,-7.67,-9.15,-33.85
2018-11-10 00:00:00+00:00,6414.0,6338.5,-1.18,2.27,1.09,-31.58
2018-11-13 00:00:00+00:00,6361.0,6337.5,-0.37,2.73,2.36,-28.85
2018-11-14 00:00:00+00:00,6337.5,6249.0,-1.4,-2.44,-3.84,-31.29
2018-11-15 00:00:00+00:00,6249.0,5586.0,-10.61,0.71,-9.9,-30.58
2018-11-16 00:00:00+00:00,5586.0,5581.0,-0.09,4.88,4.79,-25.7
2018-11-17 00:00:00+00:00,5581.0,5511.0,-1.25,-1.26,-2.51,-26.96
2018-11-18 00:00:00+00:00,5511.0,5501.5,-0.17,5.11,4.94,-21.85
2018-11-20 00:00:00+00:00,5556.0,4743.0,-14.63,7.12,-7.51,-14.73
2018-11-21 00:00:00+00:00,4743.0,4348.5,-8.32,-1.95,-10.27,-16.68
2018-11-23 00:00:00+00:00,4537.0,4266.5,-5.96,0.26,-5.7,-16.42
2018-11-25 00:00:00+00:00,4283.0,3768.5,-12.01,3.37,-8.64,-13.05
2018-11-27 00:00:00+00:00,3930.5,3724.5,-5.24,0.95,-4.29,-12.1
2018-12-01 00:00:00+00:00,4242.0,3972.0,-6.36,1.73,-4.63,-10.37
2018-12-03 00:00:00+00:00,4136.5,4096.5,-0.97,0.05,-0.92,-10.32
2018-12-04 00:00:00+00:00,4096.5,3829.5,-6.52,0.9,-5.62,-9.42
2018-12-06 00:00:00+00:00,3902.0,3695.5,-5.29,0.96,-4.33,-8.46
2018-12-07 00:00:00+00:00,3695.5,3430.5,-7.17,-3.34,-10.51,-11.8
2018-12-08 00:00:00+00:00,3430.5,3369.0,-1.79,0.13,-1.66,-11.67
2018-12-11 00:00:00+00:00,3526.5,3406.0,-3.42,-0.55,-3.97,-12.22
2018-12-12 00:00:00+00:00,3406.0,3344.0,-1.82,1.43,-0.39,-10.79
2018-12-14 00:00:00+00:00,3431.5,3257.5,-5.07,2.53,-2.54,-8.26
2018-12-15 00:00:00+00:00,3257.5,3193.0,-1.98,-1.42,-3.4,-9.68
2018-12-16 00:00:00+00:00,3193.0,3183.0,-0.31,-0.59,-0.9,-10.27
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,0.62,-4.98,-9.65
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,3.49,2.56,-6.16
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,0.38,-5.98,-5.78
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-5.14,-10.88,-10.92
